                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.82567,                0.49467,                0.97741,                0.97419,                0.98329,                0.98676,                0.81871,                0.74232,                0.42812,                0.97296,              0.0016106,              0.0016106,              0.0016106
                     62,                0.82062,                 0.4754,                0.99392,                0.97783,                0.98568,                0.98513,                0.80473,                0.75181,                 0.4187,                0.98568,               0.001604,               0.001604,               0.001604
                     63,                0.81942,                0.47612,                0.97458,                0.97622,                0.97994,                0.98866,                0.82678,                0.71142,                0.40672,                0.96053,              0.0015974,              0.0015974,              0.0015974
                     64,                0.81041,                0.45967,                0.98922,                0.97501,                0.97613,                0.98526,                 0.8133,                0.71941,                0.40431,                0.95671,              0.0015908,              0.0015908,              0.0015908
                     65,                0.79967,                0.46607,                0.97512,                0.97628,                 0.9824,                0.98222,                0.80902,                0.74246,                0.41032,                0.97159,              0.0015842,              0.0015842,              0.0015842
                     66,                0.83052,                 0.4879,                0.98877,                0.96632,                0.98329,                0.98596,                0.79752,                0.75328,                0.44967,                0.96966,              0.0015776,              0.0015776,              0.0015776
                     67,                0.81002,                 0.4798,                0.97893,                0.98011,                0.98568,                0.98741,                0.82145,                 0.7033,                0.41909,                0.95645,               0.001571,               0.001571,               0.001571
                     68,                0.78782,                0.47014,                0.97291,                 0.9771,                0.98807,                0.98872,                0.82979,                0.71836,                0.40369,                0.96102,              0.0015644,              0.0015644,              0.0015644
                     69,                0.76479,                0.45359,                0.94921,                0.97194,                0.99208,                0.98714,                0.81975,                 0.7176,                0.41478,                0.95161,              0.0015578,              0.0015578,              0.0015578
                     70,                0.80966,                0.49395,                0.99703,                0.98225,                0.98329,                0.98798,                0.82912,                0.70226,                0.39473,                0.95396,              0.0015512,              0.0015512,              0.0015512
                     71,                0.79218,                0.46472,                0.98846,                0.97554,                0.99045,                0.98827,                0.83022,                 0.7253,                0.41284,                0.97403,              0.0015446,              0.0015446,              0.0015446
                     72,                0.82475,                0.46467,                0.97921,                 0.9765,                0.98807,                 0.9874,                0.81633,                0.70981,                0.39014,                 0.9582,               0.001538,               0.001538,               0.001538
                     73,                0.78719,                0.45463,                 0.9758,                0.97867,                 0.9855,                0.98705,                0.82822,                0.73081,                  0.402,                0.96962,              0.0015314,              0.0015314,              0.0015314
                     74,                0.81196,                0.45505,                0.96871,                0.97845,                0.99045,                0.99026,                0.81234,                0.71796,                0.39682,                0.95859,              0.0015248,              0.0015248,              0.0015248
                     75,                0.81471,                0.47305,                0.98119,                0.97562,                0.98568,                0.98787,                0.83596,                0.69869,                0.40117,                0.95157,              0.0015182,              0.0015182,              0.0015182
                     76,                0.76322,                0.43525,                0.96252,                0.97997,                0.99045,                0.98884,                0.83536,                 0.6945,                0.38138,                0.94658,              0.0015116,              0.0015116,              0.0015116
                     77,                 0.7938,                0.44805,                0.98135,                0.97559,                0.98807,                0.98591,                0.80795,                 0.7077,                0.39513,                0.95955,               0.001505,               0.001505,               0.001505
